Id del anuncio,Título,Tipo de inmueble,Descripción,Dirección,Barrio,Municipio,Distrito,Habitaciones,Baños,Metros cuadrados construidos,Planta,Ascensor (Sí/No),Obra nueva (Sí/No),Piscina (Sí/No),Terraza (Sí/No),Parking (Sí/No),Parking incluido en el precio (Sí/No),Aire acondicionado (Sí/No),Trastero (Sí/No),Jardín (Sí/No),Precio,Grupo
105368086,Piso en calle General Almirante,Piso,"La Casa Agency vende excelente piso céntrico para entrar a vivir! Primera planta con ascensor de 115 m² útiles con orientación sur. A la entrada, comenzamos con el recibidor, que nos lleva hacia la habitación más amplia, con cama de matrimonio de 1.80. Seguidamente, encontramos el pasillo, que nos lleva a las distintas dependencias. Un distribuidor que nos lleva a la cocina, completamente reformada, que cuenta con despensa, galería y salida a un patio de uso y disfrute. Seguidamente, a la salida de la cocina, encontramos un aseo con ventana y una habitación que actualmente se le está dado uso de comedor, lo que le da a la casa muchas versatilidad. Seguidamente, por el pasillo, encontramos otras dos habitaciones, ambas de buen tamaño. Para finalizar, un gran salón de 30 metros, con vistas directas al mercado del val y orientación sur, haciendo todo el salón-comedor muy luminoso. Con todos los servicios a menos de 3 minutos, su excelente ubicación hace de este inmueble un lugar inmejorable para vivir. ¿Necesitas financiar la compra de tu nuevo hogar? Contamos con el departamento financiero FINANZATE, que ofrece asesoramiento sin compromiso y posibilidad de financiación a través de préstamos personales e hipotecarios. No pierdas la oportunidad, ¡contáctanos para más información y gestión! Nos dedicamos a la financiación por parte de los clientes a través de préstamos personales e hipotecarios, Según el perfil del cliente financiamos el 100%, 90% y el 80%. Tenemos la disponibilidad de asesores para llevar a cabo dicho asesoramiento financiero para que le puedan dar más información. Trabajamos con 16 entidades bancarias. Además, si no tiene aún casa y está buscando a través de la Inmobiliaria La Casa Agency podemos ayudarle de la mejor manera posible, No dude en obtener más información y llámenos!",calle General Almirante,-,Valladolid,Centro,4,2,123,1,Sí,No,No,Sí,No,No,No,No,No,289000,3
106034427,"Piso en calle de Panaderos, 69",Piso,"En la calle Panaderos, haciendo esquina con la calle Loza y junto al túnel nuevo, nos encontramos un sexto de altura, exterior y muy luminoso, con vistas a las dos calles. Se divide en tres dormitorios y salón, cocina equipada con gran galería y un cuarto de baño. La calefacción es individual mediante caldera de Gas Natural. El edificio tiene ascensor y el portal está arreglado. Se alquila sin amueblar. Zona muy cercana a las estaciones y con todos los servicios alrededor (colegios, comercios, tiendas, supermercados, etc).","calle de Panaderos, 69",-,Valladolid,Centro,3,1,99,6,Sí,No,No,Sí,No,No,No,No,No,165000,3
105538576,Piso en calle de Joaquín Velasco Martín,Piso,"SE VENDE VIVIENDA PARA ENTRAR A VIVIR EN HUERTA DEL REY VALLADOLID. Piso en venta totalmente exterior de esquina con vistas a Avenida Salamanca muy luminoso de 3 dormitorios, uno de ellos con armario empotrado y otro en pasillo. Salón con acceso a terraza cubierta con aislamiento que impide que entre frio y calor Cocina amueblada con electrodomésticos. Baño reformado con plato de ducha y ventana. Calefacción individual gas natural. 2º sin ascensor, con proyecto aprobado para instalarlo.",calle de Joaquín Velasco Martín,-,Valladolid,Huerta del Rey,3,1,75,2,No,No,No,Sí,No,No,No,No,No,112000,9
105756607,Piso en calle San Luis,Piso,"Alimar te ofrece este gran piso en el semicentro de la ciudad, comunicado con todos los servicios de trasporte, centros de Salud, colegios Guarderías, la Universiada de derecho, el Teatro Calderón, los juzgados, el Clínico. Facil salida para las rondas, los polígonos de trabajo, ETC. Descripción: Tiene dos hall, uno para salón y cocina otro para los dormitorios, amplio salon comedor grande (tiene gran ventanal), cuatro dormitorios dobles, dos baños, la cocina en buen estado, galería cerrada.  la plaza de garaje es para coche grande se accede desde la calle. La comunidad es de 140, calefacion central (con los contadores individuales, lo que consumes pagas), los metros son aproximados.   calidades: suelo de parque, zonas húmedas de de gres, puertas Sapely, ventanas cambiadas las del salon y dos dormitorios, el recto de aluminio normal, el estado es normal. orientación sureste y por la tarde oeste.  no lo pienses visitalo.",calle San Luis,-,Valladolid,Circular - Vadillos,4,2,124,6,Sí,No,No,No,Sí,Sí,No,No,No,249000,7
105883172,Piso en avenida de Irún,Piso,"TECNOCASA Agencia Inmobiliaria Valladolid, Paseo de Zorrilla - Puente Colgante - Plaza de Toros vende en exclusiva en la AVENIDA DE IRÚN. Magnífica vivienda REFORMADA en primera planta con DOS ASCENSORES de 139 metros cuadrados útiles, según catastro, con GARAJE, TRASTERO y ZONAS AJARDINADAS. La vivienda esta distribuida en cinco dormitorios, amplio salón-comedor con vistas a las zonas ajardinadas, cocina recientemente reformada con galería y doble acceso, y dos baños con plato de ducha. Todas las ventanas cuentan con persianas automáticas. PARA ENTRAR A VIVIR. Cuenta con calefacción central con contadores individuales. MUY BUENA UBICACIÓN, junto al CORTE INGLÉS, ubicada en una de las zonas mas significativas de la ciudad, rodeada de zonas verdes y parques, que cuenta con todo tipo de servicios, supermercados, colegios, centro de salud, farmacias, gimnasios y centros comerciales. Con una conexión de autobuses interurbanos que conecta toda la ciudad, a 8 minutos andando de la estación de autobuses de Valladolid y a 15 min de la estación de trenes. TECNOCASA, Red Inmobiliaria líder en el sector con más de 30 años de experiencia, presente en más de 11 países, con más de 900 oficinas a nivel nacional y 14 oficinas en Valladolid. Realizamos valoraciones de su hogar totalmente gratuitas, gestionamos el proceso de post-venta (tanto para comprador como para el vendedor), además, les daremos toda la información que necesiten sobre hipotecas, les ayudaremos a tramitar herencias, certificados, cambios de titularidad, plusvalías, permiso de venta, etc. Contamos con la colaboración del departamento de financiación de KÍRON, su experto intermediario que le asesorará gratuitamente sin ningún compromiso. Nuestros servicios: -Hipoteca “primera vivienda”. -Hipoteca “cambio de vivienda”. -Hipoteca 100%. Disponemos de las mejores viviendas del mercado. NO DUDE EN VISITARNOS. '.",avenida de Irún,-,Valladolid,Pº Zorrilla - Plaza de Toros,5,2,139,1,Sí,No,No,No,Sí,Sí,No,Sí,Sí,279900,7
105995849,Piso en calle Emilia Pardo Bazán,Piso,"TECNOCASA Agencia Inmobiliaria Valladolid, Paseo de Zorrilla- 4 de Marzo- La Farola vende en exclusiva en EMILIA PARDO BAZAN. Magnífica vivienda EXTERIOR en tercera planta con ASCENSOR de 70 metros cuadrados útiles, 77 construidos, según catastro. La vivienda esta distribuida en tres dormitorios, salón de paso a uno de ellos, cocina reformada con electrodomésticos, y baño con plato de ducha. La vivienda se ofrece amueblada. MUY BUENA UBICACIÓN, en frente del centro comercial El corte Ingles del Paseo Zorrilla, ubicada en una de las zonas mas significativas de la ciudad, rodeada de zonas verdes y parques, que cuenta con todo tipo de servicios, supermercados, colegios, centro de salud, farmacias, gimnasios y centros comerciales. Con una conexión de autobuses interurbanos que conecta toda la ciudad, a 5 minutos de la estación de autobuses de Valladolid y a 12 min de la estación de trenes. TECNOCASA, Red Inmobiliaria líder en el sector con más de 30 años de experiencia, presente en más de 11 países, con más de 900 oficinas a nivel nacional y 14 oficinas en Valladolid. Realizamos valoraciones de su hogar totalmente gratuitas, gestionamos el proceso de post-venta (tanto para comprador como para el vendedor), además, les daremos toda la información que necesiten sobre hipotecas, les ayudaremos a tramitar herencias, certificados, cambios de titularidad, plusvalías, permiso de venta, etc. Contamos con la colaboración del departamento de financiación de KÍRON, su experto intermediario que le asesorará gratuitamente sin ningún compromiso. Nuestros servicios: -Hipoteca “primera vivienda”. -Hipoteca “cambio de vivienda”. -Hipoteca 100%. Disponemos de las mejores viviendas del mercado. NO DUDE EN VISITARNOS. '.",calle Emilia Pardo Bazán,-,Valladolid,Pº Zorrilla - Plaza de Toros,3,1,77,3,Sí,No,No,No,No,No,No,No,No,150000,8
103855556,Piso en calle Ribera del Carrión,Piso,"La Casa Agency vende ático en la zona de Parque Alameda (Covaresa) en la zona de Paula López, Ubicado en la cuarta planta del edificio con ascensor. El piso se encuentra en perfecto estado de conservación (edificación del 2001 con mejoras realizadas) Próximo al CDO y del C. C. Vallsur. Una luminosa vivienda gracias a su orientación este y oeste y además es totalmente exterior. Se compone de un acogedor salón de 32 m², cocina office de 12 m² con lavavajillas integrado y completamente equipada y con acceso a una galería cubierta, 3 amplios dormitorios con armarios empotrados, dos cuartos de baño (uno de ellos en suite) Calefacción de gas natural-individual, ventanas velux, suelos de parquet (elondo africano). Gastos de comunidad de 120€. Plaza de garaje y trastero incluidos en el precio y dentro del mismo edificio. Zonas comunitarias y piscina.",calle Ribera del Carrión,-,Valladolid,Covaresa - Parque Alameda,3,2,127,4,Sí,No,Sí,No,Sí,Sí,No,Sí,Sí,279900,14
103438286,Piso en calle Conde de Benavente,Piso,"La Casa Agency VALLADOLID vende este amplio y luminoso piso de 90 m² construidos y 80 m² útiles se encuentra en una ubicación privilegiada, a solo 5 minutos de la Plaza Mayor y la Plaza Poniente, y muy próximo a la playa de las Moreras. Disfruta de la comodidad de tener todo tipo de servicios a tu alcance y una excelente comunicación en transporte público. La vivienda cuenta con 3 habitaciones, un baño con posibilidad de añadir un aseo adicional, un salón amplio con zona de estar y comedor, y una terraza perfecta para relajarse. La cocina dispone de una galería cerrada y un cuarto de despensa, ideal para el almacenamiento. Además, la calefacción central te garantiza una temperatura agradable durante todo el año. Este piso en planta 1, exterior, con orientación norte, está en buen estado y es apto para personas con movilidad reducida gracias a su acceso adaptado y al ascensor del edificio. También incluye armarios empotrados para optimizar el espacio. Rodeado de extensas zonas verdes junto al río Pisuerga, es el lugar perfecto para disfrutar de la naturaleza sin renunciar a las comodidades urbanas. ¡No dejes pasar esta oportunidad y ven a visitarlo!",calle Conde de Benavente,-,Valladolid,Centro,3,1,90,1,Sí,No,No,Sí,No,No,No,No,No,145000,3
105318477,Piso en paseo de Zorrilla,Piso,"LA Casa Agency presenta este inmueble distribuido en 4 amplias habitaciones, una de ellas cuenta con armario empotrado, y dos con salida a terraza acristalada. Salón también con acceso a terraza acristalada con vistas al Paseo Zorrilla. Baño independiente con ducha, y aseo independiente. Cocina amueblada y equipada. Armario empotrado en pasillo distribuidor. Ascensor y rampa de acceso para personas con movilidad reducida. Situado en zona céntrica, cercano a centros comerciales, cafeterías, colegios, cines, parques, centros de salud etc. Se encuentra a escasos minutos a pie de Campo Grande el parque urbano más grande de la ciudad, perfecto para desconectar.",paseo de Zorrilla,-,Valladolid,Pº Zorrilla - Campo Grande,4,2,129,3,Sí,No,No,Sí,No,No,No,No,No,259000,3
105322547,Piso en calle Narciso Alonso Cortes,Piso,"TECNOCASA Agencia Inmobiliaria Valladolid, Paseo de Zorrilla - La Farola - Cuatro de Marzo - vende en exclusiva en la calle NARCISO ALONSO CORTES. Fantástico piso COMPLETAMENTE EXTERIOR en segunda planta con ASCENSOR de 97 metros cuadrados útiles y 103 construidos, según catastro. La vivienda tiene orientación Norte-Sur, se hizo una reforma hace 10-15 años en las que se cambiaron electricidad y fontanería, el estado de conservación es bueno, con ventanas de climalit, suelos de tarima y puertas cambiadas. Cuenta con cuatro dormitorios, salón independiente, cocina con galería que da acceso al aseo y baño con bañera. LA CALEFACCIÓN ES ELÉCTRICA. Muy buena ubicación, cerca del Corte Inglés de Paseo Zorrilla, ubicada en una de las zonas mas significativas de la ciudad, rodeada de zonas verdes y parques, que cuenta con todo tipo de servicios, supermercados, colegios, centro de salud, farmacias, gimnasios y centros comerciales. Con una conexión de autobuses interurbanos que conecta toda la ciudad. TECNOCASA, Red Inmobiliaria líder en el sector con más de 30 años de experiencia, presente en más de 11 países, con más de 900 oficinas a nivel nacional y 14 oficinas en Valladolid. Realizamos valoraciones de su hogar totalmente gratuitas, gestionamos el proceso de post-venta (tanto para comprador como para el vendedor), además, les daremos toda la información que necesiten sobre hipotecas, les ayudaremos a tramitar herencias, certificados, cambios de titularidad, plusvalías, permiso de venta, etc. Contamos con la colaboración del departamento de financiación de KÍRON, su experto intermediario que le asesorará gratuitamente sin ningún compromiso. Nuestros servicios: -Hipoteca “primera vivienda”. -Hipoteca “cambio de vivienda”. -Hipoteca 100%. Disponemos de las mejores viviendas del mercado. NO DUDE EN VISITARNOS. '.",calle Narciso Alonso Cortes,-,Valladolid,Cuatro de Marzo,4,2,103,2,Sí,No,No,Sí,No,No,No,No,No,139900,3
104920217,Piso en calle Don Sancho,Piso,"¿Siempre quisiste vivir cerca del centro¡ Pues esta es tu oportunidad! Sotocasa  vende amplio piso con muchas posibilidades en calle Don Sancho, al lado de la Plaza Cruz Verde y de la Plaza Santa Cruz. Se trata de una vivienda de cuatro dormitorios, salón, cocina y dos baños, distribuidos de manera independiente. Tiene trastero para tener organizadas tus cosas  y plaza de garaje para tu comodidad incluida en el precio. Si desea verlo o necesita más información pásese por nuestra oficina en calle Santa Clara 36 o llame al 983_320_328, estaremos encantados de atenderle.",calle Don Sancho,-,Valladolid,San Juan - Batallas,4,2,119,-,Sí,No,No,No,Sí,Sí,No,Sí,No,290000,7
104703552,Piso en calle de Nicómedes Sanz,Piso,"Sotocasa vende precioso piso seminuevo en Parquesol para entrar a vivir. Se encuentra en la calle  Nicomedes Sanz una zona muy tranquila, residencial y bien comunicada con el centro y las rondas. Te presentamos una propiedad con muy buenas calidades,   Es muy luminosa, Consta de 3 dormitorios, salón, una estupenda terraza, cocina y dos baños, uno con bañera y otro con plato de ducha. Tiene también trastero y amplia plaza de garaje. Lo mejor para el final, una piscina comunitaria para disfrutar en verano y un gimnasio para que te pongas en forma. ¡ No lo dudes y llámanos para verlo!",calle de Nicómedes Sanz,-,Valladolid,Parquesol,3,2,114,-,Sí,No,Sí,No,Sí,Sí,No,No,No,282500,14
106029900,Piso en calle de Recondo,Piso,"¡Descubre tu nuevo hogar en este encantador piso reformado que combina comodidad y estilo! Con una superficie de 80 m², este luminoso apartamento cuenta con 2 acogedores dormitorios y 2 modernos baños, perfectos para adaptarse a tus necesidades. La cocina, completamente amueblada y equipada ofrece un espacio funcional y acogedor. Además, el piso cuenta con armarios empotrados que maximizan el espacio de almacenamiento, manteniendo todo ordenado y al alcance de la mano. La vivienda cuenta con calefacción y aire acondicionado. El edificio dispone de ascensor y el estado general de la propiedad es excelente, lo que te permitirá mudarte sin preocupaciones. También incluye un trastero, ideal para guardar esos objetos que no utilizas a diario pero que quieres tener a mano. No pierdas la oportunidad de vivir en este maravilloso piso que lo tiene todo: confort, luminosidad y una ubicación estratégica. ¡Contáctanos hoy mismo para programar una visita y enamórate de tu nuevo hogar!",calle de Recondo,-,Valladolid,Pº Zorrilla - Campo Grande,2,2,80,1,Sí,No,No,No,No,No,Sí,Sí,No,180000,0
105700289,Piso,Piso,"PISO VENTA HUERTA DEL REY, VALLADOLID. Vivienda en venta en Huerta del Rey. Piso muy luminoso de 86 m2 útiles, con 3 dormitorios, salón con acceso a terraza acristalada de unos 6 m2, cocina amueblada con electrodomésticos y galería cerrada, y 2 baños. Plaza de garaje y trastero. Calefacción central. Locales comerciales propiedad de la comunidad.",Huerta del Rey,-,Valladolid,Huerta del Rey,3,2,92,11,Sí,No,No,Sí,Sí,Sí,No,Sí,No,210000,16
105816092,"Piso en calle Vives, 12",Piso,"TECNOCASA Agencia Inmobiliaria Valladolid, Paseo de Zorrilla - 4 de Marzo - La Farola vende en exclusiva en LA CALLE VIVES. Piso EXTERIOR para reformar en planta tercera sin ascensor de 75 metros cuadrados útiles y 80 construidos, según catastro. La vivienda se distribuye en tres dormitorios, salón de paso a uno de ellos, cocina amueblada, baño con plato de ducha.  La calefacción es individual de gas natural con salida de gases hacia el exterior. Muy buena ubicación, próxima a EL CORTE INGLÉS, ubicada en una de las zonas mas significativas de la ciudad, rodeada de zonas verdes y parques, que cuenta con todo tipo de servicios, supermercados, colegios, centro de salud, farmacias, gimnasios y centros comerciales. Con una conexión de autobuses interurbanos que conecta toda la ciudad, a 10 minutos de la estación de autobuses de Valladolid y a 15 min de la estación de trenes. TECNOCASA, Red Inmobiliaria líder en el sector con más de 30 años de experiencia, presente en más de 11 países, con más de 900 oficinas a nivel nacional y 14 oficinas en Valladolid. Realizamos valoraciones de su hogar totalmente gratuitas, gestionamos el proceso de post-venta (tanto para comprador como para el vendedor), además, les daremos toda la información que necesiten sobre hipotecas, les ayudaremos a tramitar herencias, certificados, cambios de titularidad, plusvalías, permiso de venta, etc. Contamos con la colaboración del departamento de financiación de KÍRON, su experto intermediario que le asesorará gratuitamente sin ningún compromiso. Nuestros servicios: -Hipoteca “primera vivienda”. -Hipoteca “cambio de vivienda”. -Hipoteca 100%. Disponemos de las mejores viviendas del mercado. NO DUDE EN VISITARNOS. '.","calle Vives, 12",-,Valladolid,Cuatro de Marzo,3,1,80,3,No,No,No,Sí,No,No,No,No,No,119900,9
105445841,Piso,Piso,"AMPLIA VIVIENDA EN VENTA, CENTRO DE VALLADOLID. Próximo a la Estación del AVE, vivienda de 169 m2 útiles, consta de salón-comedor, 3 dormitorios, 2 baños, cocina con office y despensa, dormitorio y aseo de servicio. Orientación este oeste. Necesita reformas. Plaza de garaje en el mismo edificio.",Centro,-,Valladolid,Centro,4,3,190,2,Sí,No,No,No,Sí,Sí,No,No,No,360000,7
106108996,Piso,Piso,"ANB GESTIÓN INMOBILIARIA VENDE:  Estupendo piso en la zona de Parquesol con una ubicación inmejorable, rodeado de todos los servicios: centros educativos, farmacia, supermercados. La vivienda tiene 4 dormitorios y dos baños, la cocina es muy amplia con una galería cerrada y terraza abierta.  El salón es muy amplio y luminoso con orientación sur. Dispone de garaje y trastero de tamaño estándar.",Parquesol,-,Valladolid,Parquesol,4,2,115,5,Sí,No,No,Sí,Sí,Sí,No,Sí,No,218000,16
104452107,Piso en calle de San Isidro,Piso,"Alimar te ofrece este estupendo piso ideal como inversión. Descripción: hall, pasillo, salon de paso para los dormitorios, un con terraza cerrada, baño con ducha y ventana en buen estado, cocina normal con patio de uso y disfrute. La comunidad con pocos gastos, los metros son aproximados, calefacion de gas. Calidades: puertas de sapely, ventanas de madera, suelo de sintasol, portal sin barreras. Bien comunicado con toda la ciudad, facil acceso al Casco Historico, junto la plaza Circular, a tan solo 15 minutos al Clínico y la Universidad de derecho, a tan solo 10 minutos del Hospital Rio Hortega, los polígonos de trabajo, la factoría Iveco. visitalo, te va a gustar.",calle de San Isidro,-,Valladolid,Pajarillos,3,1,60,1,Sí,No,No,No,No,No,No,No,No,73990,8
101965297,Piso en calle de Gabilondo,Piso,"Ata Inmobiliaria LES OFRECE PISO en calle GABILONDO. Reformado apartamento cercano a estación AVE y a unos minutos de centro de Valladolid Características. 69 m2. Construidos. 57 m2. Útiles. 1 Dormitorio. 1 Baño. Trastero El inmueble dispone de cocina perfectamente equipada de mobiliario y completa de todos los electrodomésticos. En la reforma la vivienda se dejó con un solo dormitorio y se actualizo fontanería y electricidad. Tiene dos amplios armarios empotrados, pavimentos de parquet, carpintería exterior de PVC blanca con cristal tipo Climalit y la calefacción es individual a gas natural. La zona nos ofrece todos los servicios necesarios para un cómodo día a día.  ¡Llámenos y pasamos a visitarlo¡.",calle de Gabilondo,-,Valladolid,Pº Zorrilla - Plaza de Toros,1,1,69,7,Sí,No,No,No,No,No,No,Sí,No,135000,8
106085104,Piso,Piso,"ANB GESTIÓN INMOBILIARIA VENDE:  Piso en zona centro de Valladolid, al lado del Paseo de Isabel la Católica. Rodeado de todo tipo de servicios: centros educativos, supermercados, etc y próximo a la Plaza Mayor. El piso tiene una cocina amueblada con galería que da a un patio grande y luminoso, donde también dan los dormitorios. Tiene un baño con bañera grande, por lo que se podía hacer también otro. El salón tiene una pequeña terraza que da a una terraza grande de la comunidad. Del salón salen los dormitorios.",Centro,-,Valladolid,Centro,3,1,80,1,Sí,No,No,Sí,No,No,No,No,No,145000,3
105520196,Piso,Piso,"Vivienda en venta totalmente amueblada, en Villa del Prado, en una magnifica zona residencial, rodeada de todos los servicios, paradas de autobús, carnicería, farmacias, etc. La vivienda se distribuye en un pasillo con armario empotrado que da paso a un salón- comedor amplio con mucha luz, cocina equipada con galería, dos habitaciones con armarios empotrados y un aseo con ducha y un baño completo con bañera. La vivienda tiene orientación sur por lo que es muy luminosa. Cuenta con video portero y zonas comunes: piscina comunitaria y pista de pádel. También tiene en el mismo edificio dos plazas de garaje y un trastero por si necesitas algo mas de almacenaje. No dejes escapar esta oportunidad y llámanos para realizar una visita. Llámanos al o rellena el formulario que encontrarás aquí debajo, te proporcionaremos toda la información que necesites sobre esta y otras ofertas de pisos en venta en Valladolid y alrededores.",Girón - Villa del Prado,-,Valladolid,Girón - Villa del Prado,2,2,94,3,Sí,No,Sí,No,Sí,Sí,No,Sí,No,250000,14
105279770,Piso,Piso,"ANB GESTIÓN INMOBILIARIA VENDE:  Precioso apartamento situado en calle peatonal al lado de la calle Santiago y a dos minutos de la Plaza Mayor rodeado de todos los servicios.  La vivienda se vende amueblada (excepto la descalzadora y los cuadros) dispone de un salón-cocina americana, un dormitorio con armario empotrado y un baño completo. Dispone de un trastero muy amplio. Vivienda adaptada para movilidad reducida. Habilitado como oficina actualmente apartamento.",Centro,-,Valladolid,Centro,1,1,65,1,Sí,No,No,No,No,No,No,Sí,No,225000,8
105779959,Piso,Piso,"Se vende piso amplio y luminoso en el barrio de La Farola. Piso ubicado en una zona muy tranquila con todo tipo de servicios a escasos metros de El Corte Inglés y del Paseo Zorrilla. La vivienda está para entrar a vivir, pero sí que hay que hacer alguna actualización en los baños. Se distribuye en salón- comedor, dos baños, cuatro dormitorios y cocina totalmente equipada. Carpintería exterior cambiada, de climalit-aluminio blanco, suelo laminado, puertas de madera y calefacción central con contadores individuales. Vivienda toda exterior con mucha luminosidad. Portal reformado adaptado a personas de movilidad reducida y ascensor. También cuenta con plaza de garaje y trastero. No dejes escapar esta oportunidad y llámanos para realizar una visita. Para concertar una visita en el o rellena el formulario que encontrarás aquí debajo, te proporcionaremos toda la información que necesites sobre esta y otras ofertas de pisos en venta en Valladolid y alrededores.",Pº Zorrilla - Plaza de Toros,-,Valladolid,Pº Zorrilla - Plaza de Toros,4,2,132,8,Sí,No,No,No,Sí,Sí,Sí,No,No,250000,0
106018324,"Piso en calle de Bolivia, 7",Piso,"La vivienda está ubicada en una parcela privada que dispone de amplias zonas ajardinadas y zona infantil.  Consta de 105 metros construidos y 90 metros útiles. Es una vivienda de 4 dormitorios reformada y que actualmente tiene 2 dormitorios, amplio salón independiente con acceso a terraza, amplia cocina con oficce y galería, y dos baños.  Es muy luminosa y soleada. A la vivienda hay que hacerle una actualización para convertirla en el hogar que siempre has deseado. Además dispone de trastero y plaza de garaje, en el mismo edificio.","calle de Bolivia, 7",-,Valladolid,Arturo Eyres,4,2,105,4,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,150000,22
97657894,"Casa independiente en calle Amargura, 7",Chalet,"¡Bienvenido a tu nuevo hogar en Cigales, Esta impresionante propiedad ofrece un estilo de vida excepcional con una ubicación privilegiada que da a tres calles distintas del municipio. Al ingresar a esta acogedora casa, te recibirá un espacioso salón de 15 metros a la calle donde podrás relajarte y disfrutar de momentos especiales con tus seres queridos. Además, cuenta con un baño grande que incluye tanto ducha como bañera, ofreciéndote la máxima comodidad  La cocina, con su encanto y funcionalidad, cuenta con una despensa para almacenamiento adicional y todo lo que necesitas para crear deliciosas comidas familiares. Con espacio más que suficiente,  La propiedad también incluye un garaje amplio, ideal para proteger tu vehículo y ofrecerte espacio adicional de almacenamiento para tus herramientas y equipos.  Esta casa se compone de dos plantas con un total de cuatro dormitorios, uno de los cuales se encuentra en la planta baja para mayor comodidad y accesibilidad. Originalmente eran dos viviendas, lo que brinda una versatilidad única: ¡puedes mantenerla como una sola casa espaciosa o convertirla en dos hogares independientes! El terreno de 105 metros cuadrados pudiendo ampliar el patio a mas amplio,ofrece un lienzo en blanco para tus ideas y proyectos de exterior. Imagina un hermoso jardín, un área de juegos para niños o un oasis de tranquilidad al aire libre. Con tantas posibilidades y comodidades, esta casa es más que un hogar, es un sueño hecho realidad en el encantador municipio de Cigales. Tejado en buenas condiciones con onduline y teja,siendo las vigas de Madera ¡No dejes pasar la oportunidad de descubrir todo lo que esta propiedad tiene para ofrecerte!     La Casa tiene 304 metros construidos.    Se distribuye de la siguiente manera: Salón,Baño habitación,despensa y la otras vivienda y con salida al patio desde la zona de hall de distribución Garaje       SEGUNDA PLANTA:    Las escaleras están en buen estado. Son anchas y de fácil acceso.    Tenemos los tres dormitorios amplios, dos con orientación Este y el tercero con orientación Oeste.      Total de la vivienda:    Cuatro dormitorios, baño, cuarto de estar, cocina, patio grande y garaje.  Fachada con un total de 47 metros. 14 se corresponden con la entrada principal, 24 dan a la segunda de las calles con las que linda la vivienda y la tercera fachada consta de 9 metros de superficie.  El total de metros de la parcela donde se encuentra ubicada la vivienda es de 304.  La vivienda está para entrar a vivir, aunque es susceptible de reforma.  Esta ubicado céntricamente, muy cerca supermercados, tiendas de comestibles, parada de autobús y bares.    No pierdas la oportunidad de venir a conocer sus amplias posibilidades.","calle Amargura, 7",-,Cigales,-,4,1,304,-,No,No,No,No,Sí,Sí,No,No,Sí,92000,12
105299819,"Casa independiente en calle la Cruz, 12 -22",Chalet,"Este magnífico chalet, se encuentra en Castronuevo de Esgueva, a 20 minutos de Valladolid. Está ubicado en una zona privilegiada, con unas vistas magníficas a la naturaleza. Un entorno tranquilo y a la vez en el casco urbano del pueblo, a un minuto de las piscinas municipales. La parcela tiene 915 metros cuadrados y construidos 315 metros cuadrados de vivienda. En la planta baja se encuentra un amplio salón, con un porche de madera, la cocina con una amplia despensa, 3 dormitorios, dos baños, uno de ellos en suite, el garaje para dos coches. El bajocubierta es amplio, con suelos de tarima y con buena altura. Está construido con materiales de alta calidad, tiene césped con riego automático. Chalet próximo a la ciudad y con las ventajas de un entorno tranquilo. Visítelo llamando al.","calle la Cruz, 12 -22",-,Castronuevo de Esgueva,-,4,3,310,-,No,No,No,No,Sí,Sí,No,No,Sí,289000,12
104629318,"Casa independiente en calle Austria, 10 -18",Chalet,"Chalet en Bosque Real - Laguna de Duero. Con parcela de 937 metros cuadrados. Consta de 2 plantas: en la Planta Baja tenemos un salón muy grande, donde se pueden diferenciar bien un ambiente de comedor y otro de estar. Desde el salón se accede a un amplio porche cerrado con salida a la parcela y vistas a la piscina. En la planta baja también se encuentra la cocina, 4 dormitorios, uno de ellos en suite, y 3 baños. En la Planta Sótano: tenemos una magnífica bodega con chimenea, una sala de juegos y gimnasio, dos dormitorios y un baño. Ventanas aluminio con rotura puente térmico, puertas madera, suelos cerámicos, calefacción de gas (la caldera es nueva) con suelo radiante, alarma. Toda la parcela tiene césped natural con riego automático, con piscina particular, zona de juegos, una caseta para las herramientas y el garaje. La urbanización cuenta con piscina, pista de pádel, tenis, fútbol, baloncesto, y zonas comunes con club social. Para más información llame al.","calle Austria, 10 -18",-,Laguna de Duero,-,6,4,452,-,No,No,Sí,No,Sí,Sí,No,No,Sí,499000,1
